"country_name","sub_country_name","set_description","set_text","set_designer","set_start_year","set_start_month","set_start_day","set_end_year","set_end_month","set_end_day","set_perf_info","set_type_number","set_watermark_number","sg_number","stamp_prefix","stamp_sg_number","stamp_pre_suffix","stamp_suffix","stamp_description","variety_description","stamp_issue_price","stamp_type_number","stamp_unused","stamp_used","variety_flag"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","1","NULL","1","NULL","NULL","yellowish bistre/yellowish (12.9.50)","NULL","10c.","NULL","3000.00","400.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","2","NULL","2","NULL","NULL","greenish bistre (1851)","NULL","10c.","NULL","4000.00","600.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","3","NULL","3","NULL","NULL","brownish bistre (1852)","NULL","10c.","NULL","3500.00","500.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","4","NULL","4","NULL","NULL","green/bluish green (29.7.50)","NULL","15c.","NULL","29000.00","1200.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","5","NULL","5","NULL","NULL","deep green (1852)","NULL","15c.","NULL","31000.00","1600.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","6","NULL","6","NULL","NULL","black/yellowish (paper coloured on surface only) (1.1.49)","NULL","20c.","NULL","650.00","70.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","7","NULL","7","NULL","NULL","black/white (1.1.49)","NULL","20c.","NULL","700.00","80.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","8","NULL","8","NULL","NULL","grey-black (1.1.49)","NULL","20c.","NULL","2750.00","600.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","9","NULL","9","NULL","NULL","black/buff (paper coloured through) (5.5.10)","NULL","20c.","NULL","1300.00","250.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","10","NULL","10","NULL","NULL","greenish blue/yellowish (fine impressions) (1.7.50)","NULL","25c.","NULL","8500.00","55.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","11","NULL","11","NULL","NULL","deep blue (11.50)","NULL","25c.","NULL","11000.00","85.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","12","NULL","12","NULL","NULL","pale blue (8.51)","NULL","25c.","NULL","9000.00","65.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","13","NULL","13","NULL","NULL","dull blue (coarse impressions) (3.52)","NULL","25c.","NULL","9000.00","65.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","14","NULL","14","NULL","NULL","orange (3.2.50)","NULL","40c.","NULL","6000.00","600.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","15","NULL","15","NULL","NULL","red-orange (1851)","NULL","40c.","NULL","7000.00","700.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","16","NULL","16","NULL","NULL","orange-vermilion (1.1.49)","NULL","1f.","NULL","110000.00","24000.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","17","NULL","17","NULL","NULL","orange-brown (1.49)","NULL","1f.","NULL","28000.00","3250.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","18","NULL","18","NULL","NULL","carmine-brown (1.49)","NULL","1f.","NULL","17000.00","1200.00","S"
"France","NULL","T 1. Yellow gum.","An example of the 40c. bisected and used as a 20c. value is known on a cover sent from Le Cheylard (Ardêche) in March 1855.[gap]The “Vervelle” variety of No. 16, so called after the first owner of the sheet, is from an ungummed sheet of remainders discovered among the papers of the printer. Owing to the absence of gum they are lighter in shade than issued stamps. (Price £33000 unused.).[gap]","(Die eng J. J. Barre)","1849","Jan","1","1852","NULL","NULL","Imperf.","NULL","NULL","19","NULL","19","NULL","NULL","carmine (1.12.49)","NULL","1f.","NULL","17000.00","1100.00","S"
"France","NULL","NULL","The variety occurs on positions 146 and 147 in the right-hand pane of 150 stamps and was caused by the re-engraving of two clichés of 20c. introduced by error into the plate of the 40c. One of these stamps has the wide “4” on both sides, the other on one side only.[gap]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20","NULL","20","NULL","NULL","orange","NULL","40c.","NULL","35000.00","8500.00","S"
"France","NULL","NULL","Of the 15c. only one pair is known and of the 1f. orange only one each of the “Vervelle” and orange-brown (used) shades.[gap]Printed in panes of 150 (10×15), two panes to a sheet (except for first printing of 1f. consisting of one pane only). Inverted stamps occur in the following positions—10c.: 27, 58 and 145 in left-hand pane; 15c.: one position, believed to be 80 in left-hand pane: 20c.: on one pane in each of three plates, I. 92, 110 and 148 (right-hand pane), II. 93 (left-hand pane). III. 115; 25c.: 131 in left-hand pane of one plate; 1f.: 35 in forme of 150.[gap]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","21","NULL","21","NULL","NULL","bistre","NULL","10c.","NULL","127000.00","27000.00","S"
"France","NULL","NULL","Of the 15c. only one pair is known and of the 1f. orange only one each of the “Vervelle” and orange-brown (used) shades.[gap]Printed in panes of 150 (10×15), two panes to a sheet (except for first printing of 1f. consisting of one pane only). Inverted stamps occur in the following positions—10c.: 27, 58 and 145 in left-hand pane; 15c.: one position, believed to be 80 in left-hand pane: 20c.: on one pane in each of three plates, I. 92, 110 and 148 (right-hand pane), II. 93 (left-hand pane). III. 115; 25c.: 131 in left-hand pane of one plate; 1f.: 35 in forme of 150.[gap]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22","NULL","22","NULL","NULL","green (on entire)","NULL","15c.","NULL","-0.02","390000.00","S"
"France","NULL","NULL","Of the 15c. only one pair is known and of the 1f. orange only one each of the “Vervelle” and orange-brown (used) shades.[gap]Printed in panes of 150 (10×15), two panes to a sheet (except for first printing of 1f. consisting of one pane only). Inverted stamps occur in the following positions—10c.: 27, 58 and 145 in left-hand pane; 15c.: one position, believed to be 80 in left-hand pane: 20c.: on one pane in each of three plates, I. 92, 110 and 148 (right-hand pane), II. 93 (left-hand pane). III. 115; 25c.: 131 in left-hand pane of one plate; 1f.: 35 in forme of 150.[gap]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","23","NULL","23","NULL","NULL","black","NULL","20c.","NULL","14000.00","9000.00","S"
"France","NULL","NULL","Of the 15c. only one pair is known and of the 1f. orange only one each of the “Vervelle” and orange-brown (used) shades.[gap]Printed in panes of 150 (10×15), two panes to a sheet (except for first printing of 1f. consisting of one pane only). Inverted stamps occur in the following positions—10c.: 27, 58 and 145 in left-hand pane; 15c.: one position, believed to be 80 in left-hand pane: 20c.: on one pane in each of three plates, I. 92, 110 and 148 (right-hand pane), II. 93 (left-hand pane). III. 115; 25c.: 131 in left-hand pane of one plate; 1f.: 35 in forme of 150.[gap]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","24","NULL","24","NULL","NULL","blue","NULL","25c.","NULL","230000.00","18000.00","S"
"France","NULL","NULL","Of the 15c. only one pair is known and of the 1f. orange only one each of the “Vervelle” and orange-brown (used) shades.[gap]Printed in panes of 150 (10×15), two panes to a sheet (except for first printing of 1f. consisting of one pane only). Inverted stamps occur in the following positions—10c.: 27, 58 and 145 in left-hand pane; 15c.: one position, believed to be 80 in left-hand pane: 20c.: on one pane in each of three plates, I. 92, 110 and 148 (right-hand pane), II. 93 (left-hand pane). III. 115; 25c.: 131 in left-hand pane of one plate; 1f.: 35 in forme of 150.[gap]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","25","NULL","25","NULL","NULL","vermilion","NULL","1f.","NULL","1150000.00","240000.00","S"
"France","NULL","NULL","Of the 15c. only one pair is known and of the 1f. orange only one each of the “Vervelle” and orange-brown (used) shades.[gap]Printed in panes of 150 (10×15), two panes to a sheet (except for first printing of 1f. consisting of one pane only). Inverted stamps occur in the following positions—10c.: 27, 58 and 145 in left-hand pane; 15c.: one position, believed to be 80 in left-hand pane: 20c.: on one pane in each of three plates, I. 92, 110 and 148 (right-hand pane), II. 93 (left-hand pane). III. 115; 25c.: 131 in left-hand pane of one plate; 1f.: 35 in forme of 150.[gap]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","26","NULL","26","NULL","NULL","carmine (shades)","NULL","1f.","NULL","317000.00","36000.00","S"
"France","NULL","NULL","The majority of the stamps offered as No. 27 are proofs or colour trials.[gap]Plate I (containing 3 tête-bêche pairs) was used for No. 27 together with plates containing no inverted examples.[gap]One example of No. 28 is known, in pair with No. 27. This surcharge has no point below the “c” and no bars; surcharges with the point and bar are No. 36.[gap]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","27","NULL","27","NULL","NULL","dull blue (June 1850)","NULL","20c.","NULL","4750.00","NULL","S"
"France","NULL","NULL","The majority of the stamps offered as No. 27 are proofs or colour trials.[gap]Plate I (containing 3 tête-bêche pairs) was used for No. 27 together with plates containing no inverted examples.[gap]One example of No. 28 is known, in pair with No. 27. This surcharge has no point below the “c” and no bars; surcharges with the point and bar are No. 36.[gap]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","27 a.","NULL","27","NULL","a.","dull blue (June 1850)","Tête-bêche (pair)","20c.","NULL","115000.00","NULL","V"
"France","NULL","NULL","The majority of the stamps offered as No. 27 are proofs or colour trials.[gap]Plate I (containing 3 tête-bêche pairs) was used for No. 27 together with plates containing no inverted examples.[gap]One example of No. 28 is known, in pair with No. 27. This surcharge has no point below the “c” and no bars; surcharges with the point and bar are No. 36.[gap]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","28","NULL","28","NULL","NULL","surch in red on 20c. blue","NULL","“25 c”","NULL",\N,\N,"S"
"France","NULL","Reprints available for postage.","NULL","NULL","1862","Sept","1–9","NULL","NULL","NULL","NULL","NULL","NULL","29","NULL","29","NULL","NULL","bistre","NULL","10c.","NULL","750.00","NULL","S"
"France","NULL","Reprints available for postage.","NULL","NULL","1862","Sept","1–9","NULL","NULL","NULL","NULL","NULL","NULL","30","NULL","30","NULL","NULL","green","NULL","15c.","NULL","1000.00","NULL","S"
"France","NULL","Reprints available for postage.","NULL","NULL","1862","Sept","1–9","NULL","NULL","NULL","NULL","NULL","NULL","31","NULL","31","NULL","NULL","black/toned","NULL","20c.","NULL","600.00","NULL","S"
"France","NULL","Reprints available for postage.","NULL","NULL","1862","Sept","1–9","NULL","NULL","NULL","NULL","NULL","NULL","32","NULL","32","NULL","NULL","blue","NULL","25c.","NULL","700.00","NULL","S"
"France","NULL","Reprints available for postage.","NULL","NULL","1862","Sept","1–9","NULL","NULL","NULL","NULL","NULL","NULL","33","NULL","33","NULL","NULL","pale orange","NULL","40c.","NULL","850.00","NULL","S"
"France","NULL","Reprints available for postage.","NULL","NULL","1862","Sept","1–9","NULL","NULL","NULL","NULL","NULL","NULL","33 a.","NULL","33","NULL","a.","pale orange","Variety. Wider figure “4”","40c.","NULL","17000.00","NULL","V"
"France","NULL","Reprints available for postage.","NULL","NULL","1862","Sept","1–9","NULL","NULL","NULL","NULL","NULL","NULL","34","NULL","34","NULL","NULL","bright carmine","NULL","1f.","NULL","1000.00","NULL","S"
