"country_name","sub_country_name","set_description","set_text","set_designer","set_start_year","set_start_month","set_start_day","set_end_year","set_end_month","set_end_day","set_perf_info","set_type_number","set_watermark_number","sg_number","stamp_prefix","stamp_sg_number","stamp_pre_suffix","stamp_suffix","stamp_description","variety_description","stamp_issue_price","stamp_type_number","stamp_unused","stamp_used","variety_flag"
"Great Britain","Great Britain","Inscribed “Houses of Parliament” in black (16 Jan 1840).","NULL","NULL","1840","Jan","16","NULL","NULL","NULL","NULL","NULL","NULL","PE2","PE","2","NULL","NULL","envelope from","NULL","1d.","NULL","18000.00","NULL","S"
"Great Britain","Great Britain","Inscribed “Houses of Parliament” in black (16 Jan 1840).","NULL","NULL","1840","Jan","16","NULL","NULL","NULL","NULL","NULL","NULL","PE3","PE","3","NULL","NULL","envelope from","NULL","2d.","NULL","45000.00","NULL","S"
"Great Britain","Great Britain","Inscribed “Houses of Parliament” in black (16 Jan 1840).","NULL","NULL","1840","Jan","16","NULL","NULL","NULL","NULL","NULL","NULL","PE4","PE","4","NULL","NULL","envelope from","NULL","4d.","NULL","NULL","NULL","S"
"Great Britain","Great Britain","Inscribed “House of Lords” in vermilion (Jan 1840).","NULL","NULL","1840","Jan","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PE5","PE","5","NULL","NULL","envelopefrom","NULL","1d.","NULL","25000.00","NULL","S"
"Great Britain","Great Britain","Inscribed “House of Lords” in vermilion (Jan 1840).","NULL","NULL","1840","Jan","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PE8","PE","8","NULL","NULL","envelope","NULL","2d.","NULL","NULL","NULL","S"
"Great Britain","Great Britain","Inscribed “House of Commons” in black (Jan 1840).","NULL","NULL","1840","Jan","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PE9","PE","9","NULL","NULL","envelopefrom","NULL","1d.","NULL","6000.00","NULL","S"
"Great Britain","Great Britain","Letters in lower corners.","The 1d. stamp in black was printed from Plates 1 to 11. Plate 1 exists in two states (known to collectors as 1a and 1b), the latter being the result of extensive repairs.[gap]Repairs were also made to plates 2, 5, 6, 8, 9, 10 and 11, and certain impressions exist in two or more states.[gap]The so-called “Royal reprint” of the 1d. black was made in 1864, from Plate 66, Die II, on paper with Large Crown watermark, inverted. A printing was also made in carmine, on paper with the same watermark, upright.[gap]For 1d. black with “VR” in upper corners see No. V1 under Official Stamps.[gap]The 2d. stamps were printed from Plates 1 and 2.[gap]","Eng Charles and Frederick Heath","1840","May","6","NULL","NULL","NULL","Imperf","NULL","NULL","1","NULL","1","NULL","NULL","intense black","NULL","1d.","1","17500.00","525.00","S"
"Great Britain","Great Britain","Letters in lower corners.","The 1d. stamp in black was printed from Plates 1 to 11. Plate 1 exists in two states (known to collectors as 1a and 1b), the latter being the result of extensive repairs.[gap]Repairs were also made to plates 2, 5, 6, 8, 9, 10 and 11, and certain impressions exist in two or more states.[gap]The so-called “Royal reprint” of the 1d. black was made in 1864, from Plate 66, Die II, on paper with Large Crown watermark, inverted. A printing was also made in carmine, on paper with the same watermark, upright.[gap]For 1d. black with “VR” in upper corners see No. V1 under Official Stamps.[gap]The 2d. stamps were printed from Plates 1 and 2.[gap]","Eng Charles and Frederick Heath","1840","May","6","NULL","NULL","NULL","Imperf","NULL","NULL","2","NULL","2","NULL","NULL","black","NULL","1d.","NULL","12500.00","375.00","S"
"Great Britain","Great Britain","Letters in lower corners.","The 1d. stamp in black was printed from Plates 1 to 11. Plate 1 exists in two states (known to collectors as 1a and 1b), the latter being the result of extensive repairs.[gap]Repairs were also made to plates 2, 5, 6, 8, 9, 10 and 11, and certain impressions exist in two or more states.[gap]The so-called “Royal reprint” of the 1d. black was made in 1864, from Plate 66, Die II, on paper with Large Crown watermark, inverted. A printing was also made in carmine, on paper with the same watermark, upright.[gap]For 1d. black with “VR” in upper corners see No. V1 under Official Stamps.[gap]The 2d. stamps were printed from Plates 1 and 2.[gap]","Eng Charles and Frederick Heath","1840","May","6","NULL","NULL","NULL","Imperf","NULL","NULL","2 Wi","NULL","2","NULL","Wi","black","Watermark inverted","1d.","NULL","48000.00","2500.00","V"
"Great Britain","Great Britain","Letters in lower corners.","The 1d. stamp in black was printed from Plates 1 to 11. Plate 1 exists in two states (known to collectors as 1a and 1b), the latter being the result of extensive repairs.[gap]Repairs were also made to plates 2, 5, 6, 8, 9, 10 and 11, and certain impressions exist in two or more states.[gap]The so-called “Royal reprint” of the 1d. black was made in 1864, from Plate 66, Die II, on paper with Large Crown watermark, inverted. A printing was also made in carmine, on paper with the same watermark, upright.[gap]For 1d. black with “VR” in upper corners see No. V1 under Official Stamps.[gap]The 2d. stamps were printed from Plates 1 and 2.[gap]","Eng Charles and Frederick Heath","1840","May","6","NULL","NULL","NULL","Imperf","NULL","NULL","3","NULL","3","NULL","NULL","grey-black (worn plate)","NULL","1d.","NULL","16500.00","500.00","S"
"Great Britain","Great Britain","Letters in lower corners.","The 1d. stamp in black was printed from Plates 1 to 11. Plate 1 exists in two states (known to collectors as 1a and 1b), the latter being the result of extensive repairs.[gap]Repairs were also made to plates 2, 5, 6, 8, 9, 10 and 11, and certain impressions exist in two or more states.[gap]The so-called “Royal reprint” of the 1d. black was made in 1864, from Plate 66, Die II, on paper with Large Crown watermark, inverted. A printing was also made in carmine, on paper with the same watermark, upright.[gap]For 1d. black with “VR” in upper corners see No. V1 under Official Stamps.[gap]The 2d. stamps were printed from Plates 1 and 2.[gap]","Eng Charles and Frederick Heath","1840","May","6","NULL","NULL","NULL","Imperf","NULL","NULL","4","NULL","4","NULL","NULL","deep full blue","NULL","2d.","1a","45000.00","1150.00","S"
"Great Britain","Great Britain","Letters in lower corners.","The 1d. stamp in black was printed from Plates 1 to 11. Plate 1 exists in two states (known to collectors as 1a and 1b), the latter being the result of extensive repairs.[gap]Repairs were also made to plates 2, 5, 6, 8, 9, 10 and 11, and certain impressions exist in two or more states.[gap]The so-called “Royal reprint” of the 1d. black was made in 1864, from Plate 66, Die II, on paper with Large Crown watermark, inverted. A printing was also made in carmine, on paper with the same watermark, upright.[gap]For 1d. black with “VR” in upper corners see No. V1 under Official Stamps.[gap]The 2d. stamps were printed from Plates 1 and 2.[gap]","Eng Charles and Frederick Heath","1840","May","6","NULL","NULL","NULL","Imperf","NULL","NULL","5","NULL","5","NULL","NULL","blue","NULL","2d.","NULL","37000.00","900.00","S"
"Great Britain","Great Britain","Letters in lower corners.","The 1d. stamp in black was printed from Plates 1 to 11. Plate 1 exists in two states (known to collectors as 1a and 1b), the latter being the result of extensive repairs.[gap]Repairs were also made to plates 2, 5, 6, 8, 9, 10 and 11, and certain impressions exist in two or more states.[gap]The so-called “Royal reprint” of the 1d. black was made in 1864, from Plate 66, Die II, on paper with Large Crown watermark, inverted. A printing was also made in carmine, on paper with the same watermark, upright.[gap]For 1d. black with “VR” in upper corners see No. V1 under Official Stamps.[gap]The 2d. stamps were printed from Plates 1 and 2.[gap]","Eng Charles and Frederick Heath","1840","May","6","NULL","NULL","NULL","Imperf","NULL","NULL","5 Wi","NULL","5","NULL","Wi","blue","Watermark inverted","2d.","NULL","80000.00","6000.00","V"
"Great Britain","Great Britain","Letters in lower corners.","The 1d. stamp in black was printed from Plates 1 to 11. Plate 1 exists in two states (known to collectors as 1a and 1b), the latter being the result of extensive repairs.[gap]Repairs were also made to plates 2, 5, 6, 8, 9, 10 and 11, and certain impressions exist in two or more states.[gap]The so-called “Royal reprint” of the 1d. black was made in 1864, from Plate 66, Die II, on paper with Large Crown watermark, inverted. A printing was also made in carmine, on paper with the same watermark, upright.[gap]For 1d. black with “VR” in upper corners see No. V1 under Official Stamps.[gap]The 2d. stamps were printed from Plates 1 and 2.[gap]","Eng Charles and Frederick Heath","1840","May","6","NULL","NULL","NULL","Imperf","NULL","NULL","6","NULL","6","NULL","NULL","pale blue","NULL","2d.","NULL","48000.00","1000.00","S"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","S"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1 a","NULL","1","NULL","a","NULL","On bleuté paper (Plates 1 to 8)","NULL","NULL","775.00","NULL","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1 b","NULL","1","NULL","b","NULL","Double letter in corner","NULL","NULL","13000.00","400.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1 bb","NULL","1","NULL","bb","NULL","Re-entry","NULL","NULL","13500.00","450.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1 bc","NULL","1","NULL","bc","NULL","“PB” re-entry (Plate 5, 3rd state)","NULL","NULL","-1","10500.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1 c","NULL","1","NULL","c","NULL","Guide line in corner","NULL","NULL","13000.00","400.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1 cc","NULL","1","NULL","cc","NULL","Large letters in each corner (E J, I L, J C and P A) (Plate 1b)","NULL","NULL","13500.00","550.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1 d","NULL","1","NULL","d","NULL","Guide line through value","NULL","NULL","13000.00","450.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1 g","NULL","1","NULL","g","NULL","Obliterated by Maltese Cross","NULL","NULL","NULL","NULL","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","1","NULL","NULL","NULL","In red","NULL","NULL","-1","400.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","1","NULL","NULL","NULL","In black","NULL","NULL","-1","375.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","1","NULL","NULL","NULL","In blue","NULL","NULL","-1","12000.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","1","NULL","NULL","NULL","In magenta","NULL","NULL","-1","3000.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","1","NULL","NULL","NULL","In yellow","NULL","NULL","-1","-1","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","1","NULL","NULL","NULL","In violet","NULL","NULL","12000.00","NULL","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1 h","NULL","1","NULL","h","NULL","Obliterated by Maltese Cross with number in centre","NULL","NULL","-1","20000.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1 i","NULL","1","NULL","i","NULL","Obliterated “Penny Post” in black (without Maltese Cross)","NULL","NULL","-1","5500.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1 j","NULL","1","NULL","j","NULL","Obliterated by town postmark (without Maltese Cross)","NULL","NULL","NULL","NULL","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","1","NULL","NULL","NULL","In black from","NULL","NULL","-1","17000.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","1","NULL","NULL","NULL","In yellow","NULL","NULL","-1","60000.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","1","NULL","NULL","NULL","In red","NULL","NULL","-1","18000.00","V"
"Great Britain","Great Britain","Varieties of 1d. black.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1 k","NULL","1","NULL","k","NULL","Obliterated by 1844 type postmark in black","NULL","NULL","-1","1800.00","V"
"Great Britain","Great Britain","Prepared for use but not issued; “V” “R” in upper corners.","NULL","NULL","1840","NULL","NULL","NULL","NULL","NULL","Imperf","NULL","NULL","V1","V","1","NULL","NULL","black","NULL","1d.","V1","32000.00","35000.00","S"
